Type,priach,prilatic,prisub,priwal,boapel,hyatat,scitsa,barpul,epiesp,leplab,cralon,trajor,boapic,prilatid,rhahae,rhiala,esppro,oopsyl,bolsim,lepper,leubil,smipha,pricha,boaboa,rhihor,engpus,agaspu,scisig,denebr,boaros
SHADE,28,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,18,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE,24,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,9,0,0,0,22,0,0,3,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE,48,0,1,1,23,0,1,11,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOREST,31,0,0,0,0,0,0,0,8,0,4,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,129,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABANDON,51,1,3,0,0,0,0,0,7,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FOREST,22,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
FOREST,41,2,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0
FOREST,50,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABANDON,52,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,9,0,0,0,0,0,1,1,0,0,0,0,0
ABANDON,32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FOREST,16,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,65,0,0,0,5,0,2,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABANDON,49,0,0,0,2,0,8,16,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SUN,33,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE,34,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SHADE,12,0,0,0,2,0,1,11,26,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SUN,34,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
SHADE,23,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SUN,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
SUN,37,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
SHADE,53,0,0,0,4,0,6,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SHADE,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUN,52,0,1,0,3,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
SHADE,44,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE,67,0,0,2,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SUN,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SHADE,67,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
