	agaspu	barpul	boaboa	boapel	boaros	cralon	engpus	epiesp	hyatat	leplab	priach	prisub	rhahae	rhiala	rhihor	scitsa	smipha	trajor
AZ-C	0	0	0	2	0	0	0	0	1	0	18	0	0	0	0	1	0	0
DB-C	0	3	0	22	0	0	0	20	0	6	9	0	0	0	0	0	0	0
DG-C	0	0	0	0	0	1	0	0	0	0	129	1	0	4	0	0	0	0
FLL-C	0	4	0	5	0	0	1	3	0	8	65	0	0	0	0	2	0	0
GP-C	0	4	0	0	0	0	0	0	1	0	33	0	0	1	0	0	0	0
JZ-C	0	0	1	0	0	0	0	0	0	3	34	1	0	1	1	0	1	0
JZJ-C	0	3	0	0	0	0	1	0	0	0	74	0	0	0	0	0	1	0
LG-C	0	4	1	3	0	0	2	0	0	2	37	0	0	0	0	0	1	0
LL-C	0	2	0	0	0	0	0	0	0	0	37	0	0	0	0	0	1	0
PM-C	2	0	0	3	0	0	0	0	0	5	52	1	1	0	0	0	0	3
VC-C	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0
