Sitio,n,Tipo,Elevation,Pair,harvested
AL-N,32,N,542,1,Yes
AZ-C,22,C,356,4,Yes
AZ-N,27,N,351,4,Yes
DB-C,60,C,365,15,Yes
DB-N,93,N,377,15,Yes
DG-B,51,B,535,6,No
DG-C,135,C,559,6,Yes
DG-N,100,N,504,6,Yes
DG-V,66,V,546,5,No
FCAT-B1,37,B,470,13,No
FCAT-B2,59,B,500,9,No
FCAT-B3,58,B,420,12,No
FCAT-V1,68,V,489,13,No
FCAT-V2,37,V,490,9,No
FLL-B,28,B,350,14,No
FLL-C,88,C,360,14,Yes
FLL-V,90,V,356,14,No
GP-C,39,C,338,11,Yes
GP-N,39,N,355,11,Yes
JS-N,58,N,342,14,Yes
JZ-C,42,C,513,8,Yes
JZ-N,30,N,515,8,Yes
JZJ-C,79,C,520,1,Yes
LG-C,50,C,410,3,Yes
LG-N,71,N,416,3,Yes
LL-C,40,C,482,7,Yes
LL-N,59,N,504,7,Yes
PM-C,67,C,428,2,Yes
PM-N,53,N,449,2,Yes
PV-N,76,N,347,10,Yes
VC-C,6,C,375,10,Yes
VC-N,71,N,333,10,Yes
