Sitio,Tipo,Elevation,harvested,Shannon_Index,Simpson_Index,Inv_Simpson_Index
AL-N,N,542,Yes,0.5500569563964232,0.23046875,1.299492385786802
JZJ-C,C,520,Yes,0.4195558923202333,0.20301783264746232,1.2547332185886404
PM-N,N,449,Yes,1.3598960490016474,0.653717192739045,2.887813021702839
PM-C,C,428,Yes,0.15383759322861115,0.058600000000000096,1.0622477161674104
LG-N,N,416,Yes,0.5537526154099188,0.23537146614069682,1.3078245915735167
LG-C,C,410,Yes,1.5263970902870965,0.7146254458977408,3.504166666666666
AZ-N,N,351,Yes,0.8586890466711515,0.3977777777777777,1.6605166051660514
AZ-C,C,356,Yes,0.9365574882891923,0.42650267804007136,1.7436873054306468
DG-V,V,546,No,0.20100301090279254,0.09652398735995393,1.1068362480127185
DG-N,N,504,Yes,0.5997033273466178,0.29619081523673907,1.420839656044512
DG-C,C,559,Yes,0.527467814612454,0.21622533310844994,1.2758769098343017
LL-C,C,482,Yes,0.20419952975915012,0.08285714285714274,1.0903426791277258
JZ-N,N,515,Yes,0.6631794532105497,0.318181818181818,1.4666666666666663
JZ-C,C,513,Yes,1.3986946568494105,0.7194444444444444,3.5643564356435644
LL-N,N,504,Yes,0.22037864801520524,0.08592592592592585,1.0940032414910859
FCAT-V2,V,490,No,0.9972776882233271,0.43904958677685957,1.7826887661141806
FCAT-B2,B,500,No,0.665631279792101,0.3075000000000001,1.4440433212996393
VC-N,N,333,Yes,0.8045245063082775,0.33673469387755106,1.5076923076923079
VC-C,C,375,Yes,0.2960724883769849,0.12081397211985256,1.1374157098596682
PV-N,N,347,Yes,1.0076716894169464,0.4384000000000001,1.780626780626781
GP-C,C,338,Yes,0.3141230258900314,0.14125,1.1644832605531295
GP-N,N,355,Yes,0.8988742459352457,0.38672310091334383,1.6305848165637489
FCAT-B3,B,420,No,0.8675632284814612,0.5,2
DG-B,B,535,No,0.895104512051696,0.38842975206611574,1.6351351351351353
FCAT-B1,B,470,No,0.9390559818348366,0.4173875432525951,1.7164068299925759
FCAT-V1,V,489,No,0.5244480273578574,0.24397370343316283,1.3227053140096616
FLL-V,V,356,No,1.4635154303694373,0.6553086419753087,2.9011461318051577
JS-N,N,342,Yes,1.3227532824443449,0.6042899408284024,2.5271028037383174
DB-C,C,365,Yes,1.4216522000029674,0.6179693206720234,2.617590822179732
DB-N,N,377,Yes,1.243043950640523,0.5021545532892846,2.0086555106751294
FLL-C,C,360,Yes,0.568501250598027,0.2502972651605232,1.3338620142743853
FLL-B,B,350,No,1.0765200125546563,0.5943877551020409,2.465408805031447
