Sitio,Tipo,Fecha,Transecto,Hora,Clima,Temperatura,Humedad,Personas,Bloque,Veg,Hoja,Notes,sample_date
LL-N,N,01/09/22,1,20:00:00,PN,21,99.2,"HJ, DZ",A,40,70,Nada. 1 after time,2022-09-01
LL-N,N,01/09/22,1,20:00:00,PN,21,99.2,"HJ, DZ",B,80,5,Nada. 1 after time,2022-09-01
LL-N,N,01/09/22,1,20:00:00,PN,21,99.2,"HJ, DZ",C,85,0,Nada. 1 after time,2022-09-01
LL-N,N,01/09/22,1,20:00:00,PN,21,99.2,"HJ, DZ",D,70,10,Nada. 1 after time,2022-09-01
LL-N,N,01/09/22,2,20:22:00,PN,26.1,79.4,"HJ, DZ",A,80,20,Nada. Need to think of better way to do hojas / veg. Taking way too long and it feels super random / inaccurate,2022-09-01
LL-N,N,01/09/22,2,20:22:00,PN,26.1,79.4,"HJ, DZ",B,90,50,Nada. Need to think of better way to do hojas / veg. Taking way too long and it feels super random / inaccurate,2022-09-01
LL-N,N,01/09/22,2,20:22:00,PN,26.1,79.4,"HJ, DZ",C,90,0,Nada. Need to think of better way to do hojas / veg. Taking way too long and it feels super random / inaccurate,2022-09-01
LL-N,N,01/09/22,2,20:22:00,PN,26.1,79.4,"HJ, DZ",D,100,10,Nada. Need to think of better way to do hojas / veg. Taking way too long and it feels super random / inaccurate,2022-09-01
LL-N,N,01/09/22,3,20:48:00,PN,22.7,91.5,"HJ, DZ",A,0,85,2 in A! 2 DZ,2022-09-01
LL-N,N,01/09/22,3,20:48:00,PN,22.7,91.5,"HJ, DZ",B,0,95,2 in A! 2 DZ,2022-09-01
LL-N,N,01/09/22,3,20:48:00,PN,22.7,91.5,"HJ, DZ",C,70,35,2 in A! 2 DZ,2022-09-01
LL-N,N,01/09/22,3,20:48:00,PN,22.7,91.5,"HJ, DZ",D,95,30,2 in A! 2 DZ,2022-09-01
LL-N,N,01/09/22,4,21:13:00,PN,23.4,89.3,"HJ, DZ",A,50,75,"3 DZ, 1 HJ",2022-09-01
LL-N,N,01/09/22,4,21:13:00,PN,23.4,89.3,"HJ, DZ",B,30,100,"3 DZ, 1 HJ",2022-09-01
LL-N,N,01/09/22,4,21:13:00,PN,23.4,89.3,"HJ, DZ",C,20,70,"3 DZ, 1 HJ",2022-09-01
LL-N,N,01/09/22,4,21:13:00,PN,23.4,89.3,"HJ, DZ",D,75,30,"3 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,1,21:44:00,PN,22,94.3,"HJ, DZ",A,0,40,"3 DZ, 0 HJ. 1 lizard, white line down middle with long tail. Anole? In A",2022-09-01
LL-C,C,01/09/22,1,21:44:00,PN,22,94.3,"HJ, DZ",B,0,90,"3 DZ, 0 HJ. 1 lizard, white line down middle with long tail. Anole? In A",2022-09-01
LL-C,C,01/09/22,1,21:44:00,PN,22,94.3,"HJ, DZ",C,0,70,"3 DZ, 0 HJ. 1 lizard, white line down middle with long tail. Anole? In A",2022-09-01
LL-C,C,01/09/22,1,21:44:00,PN,22,94.3,"HJ, DZ",D,0,30,"3 DZ, 0 HJ. 1 lizard, white line down middle with long tail. Anole? In A",2022-09-01
LL-C,C,01/09/22,2,22:05:00,PN,22.7,92.7,"HJ, DZ",A,0,95,"2 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,2,22:05:00,PN,22.7,92.7,"HJ, DZ",B,0,60,"2 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,2,22:05:00,PN,22.7,92.7,"HJ, DZ",C,0,20,"2 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,2,22:05:00,PN,22.7,92.7,"HJ, DZ",D,0,40,"2 DZ, 1 HJ",2022-09-01
