"","agaspu","barpul","boaboa","boapel","boapic","boaros","bolsim","cralon","denebr","engpus","epibou","epiesp","esppro","hyatat","leplab","lepper","leubil","oopsyl","priach","pricha","prilat","prilatic","prilatid","prisub","priwal","rev JMG","rhahae","rhiala","rhihor","scisig","scitsa","Sequence","smipha","trajor"
"AL-N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"AZ-N",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"DB-N",0,11,0,23,0,0,0,1,0,0,0,0,0,0,6,0,0,0,48,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"DG-N",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"GP-N",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"JS-N",0,11,0,2,0,0,0,0,1,0,26,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"JZ-N",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
"LG-N",0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
"LL-N",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PM-N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2
"PV-N",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
"VC-N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"AZ-C",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DB-C",0,3,0,22,0,0,0,0,0,0,20,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DG-C",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
"FLL-C",0,4,0,5,0,0,0,0,0,1,3,0,0,0,8,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"GP-C",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"JZ-C",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"JZJ-C",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LG-C",0,4,1,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LL-C",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PM-C",2,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
"VC-C",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DG-V",0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,1,51,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0
"FCAT-V1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,2,0,1,0,0,0,0,1,1,0,0,2,0,0
"FCAT-V2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FLL-V",1,16,0,2,0,0,0,0,0,0,5,0,0,0,6,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2
"DG-B",0,0,0,0,1,0,0,4,0,0,8,0,0,0,0,0,0,0,31,0,0,0,1,0,0,1,1,5,0,0,0,0,0,0
"FCAT-B1",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,3,22,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0
"FCAT-B2",0,0,0,0,1,0,0,0,0,0,5,1,0,0,1,1,1,4,41,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
"FCAT-B3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"FLL-B",0,1,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
