"","Sitio","Grupo","Tipo","Fecha","Transecto","Bloque","Numero","SHJ_ID","FVE_ID","DFM_ID","Final_ID","Codigo","Largo","Swab","Dedo","Recap","Foto","Muerto","Notas","...20","sample_date","year"
"1","LL-N","Estacion","N","1/9/22",3,"A","1","priach","priach","priach","priach","2",3.5,"Y","Y","N","1",NA,NA,NA,2022-09-01,"2022"
"2","LL-N","Estacion","N","1/9/22",3,"A","2","priach","priach","priach","priach","2",3.6,"Y","Y","N","2",NA,NA,NA,2022-09-01,"2022"
"3","LL-N","Estacion","N","1/9/22",4,"A","3","priach","priach","priach","priach","2",3.4,"Y","Y","N","3",NA,NA,NA,2022-09-01,"2022"
"4","LL-N","Estacion","N","1/9/22",4,"C","4","priach","priach","priach","priach","2",2.3,"Y","Y","N","4",NA,NA,NA,2022-09-01,"2022"
"5","LL-N","Estacion","N","1/9/22",4,"D","5","priach","priach","priach","priach","22",3.9,"Y","Y","N","5",NA,"lost dedo, so cut 0022, escapó uno del 4D",NA,2022-09-01,"2022"
"6","LL-C","Estacion","C","1/9/22",1,"A","6","priach","priach","priach","priach","3",4.2,"Y","Y","N","6",NA,NA,NA,2022-09-01,"2022"
"7","LL-C","Estacion","C","1/9/22",1,"C","7","priach","priach","priach","priach","3",4,"Y","Y","N","7",NA,NA,NA,2022-09-01,"2022"
"8","LL-C","Estacion","C","1/9/22",1,"D","8","priach","priach","priach","priach","3",3.5,"Y","Y","N","8",NA,NA,NA,2022-09-01,"2022"
"9","LL-C","Estacion","C","1/9/22",2,"A","9","priach","priach","priach","priach","3",0.9,"Y","Y","N","9",NA,NA,NA,2022-09-01,"2022"
"10","LL-C","Estacion","C","1/9/22",2,"D","10","priach","priach","priach","priach","3",2.8,"Y","Y","N","10",NA,NA,NA,2022-09-01,"2022"
"11","LL-C","Estacion","C","1/9/22",2,"D","11","priach","priach","priach","priach","3",3.2,"Y","Y","N","11",NA,NA,NA,2022-09-01,"2022"
"12","LL-C","Estacion","C","1/9/22",3,"B","12","priach","priach","priach","priach","3",2.8,"Y","Y","N","12",NA,NA,NA,2022-09-01,"2022"
"13","LL-C","Estacion","C","1/9/22",3,"B","13","priach","priach","priach","priach","3",3.3,"Y","Y","N","13",NA,NA,NA,2022-09-01,"2022"
"14","LL-C","Estacion","C","1/9/22",3,"C","14","priach","priach","priach","priach","3",2.2,"Y","Y","N","14",NA,NA,NA,2022-09-01,"2022"
"15","LL-C","Estacion","C","1/9/22",3,"D","15","priach","priach","priach","priach","3",2.3,"Y","Y","N","15",NA,NA,NA,2022-09-01,"2022"
"16","LL-C","Estacion","C","1/9/22",4,"A","16","priach","priach","priach","priach","3",3.9,"Y","Y","N","16",NA,NA,NA,2022-09-01,"2022"
"17","LL-C","Estacion","C","1/9/22",4,"C","17","priach","priach","priach","priach","3",3.2,"Y","Y","N","17",NA,NA,NA,2022-09-01,"2022"
"18","JZ-C","Estacion","C","2/9/22",1,"B","18","priach","priach","priach","priach","505",2.9,"Y","Y","N","18",NA,"lost dedo, so recut to get genetic sample",NA,2022-09-02,"2022"
"19","JZ-C","Estacion","C","2/9/22",1,"D","19","priach","priach","priach","priach","5",3,"Y","Y","N","19",NA,NA,NA,2022-09-02,"2022"
"20","JZ-C","Estacion","C","2/9/22",1,"D","20","priach","priach","priach","priach","5",2.4,"Y","Y","N","20",NA,NA,NA,2022-09-02,"2022"
"21","JZ-C","Estacion","C","2/9/22",2,"B","21","priach","priach","priach","priach","5",3.9,"Y","Y","N","21",NA,NA,NA,2022-09-02,"2022"
"22","JZ-C","Estacion","C","2/9/22",2,"D","22","priach","priach","priach","priach","5",2.6,"Y","Y","N","22",NA,NA,NA,2022-09-02,"2022"
"23","JZ-N","Estacion","N","2/9/22",1,"D","23","priach","priach","priach","priach","20",3.2,"Y","Y","N","23",NA,NA,NA,2022-09-02,"2022"
"24","LL-C","Estacion","C","3/9/22",1,"A","24","priach","priach","priach","priach","33",1.1,"Y","Y","N","24",NA,"lost dedo, so cut two",NA,2022-09-03,"2022"
"25","LL-C","Estacion","C","3/9/22",1,"A","25","priach","priach","priach","priach","3",2.9,"Y","Y","N","25",NA,NA,NA,2022-09-03,"2022"
"26","LL-C","Estacion","C","3/9/22",2,"D","26","priach","priach","priach","priach","3",2.8,"Y","Y","N","26",NA,"escapó uno de 3B",NA,2022-09-03,"2022"
"27","LL-C","Estacion","C","3/9/22",3,"A","27","priach","priach","priach","priach","3",2.8,"Y","Y","N","27",NA,NA,NA,2022-09-03,"2022"
"28","LL-C","Estacion","C","3/9/22",3,"C","28","priach","priach","priach","priach","3",2.2,"Y","Y","N","28",NA,NA,NA,2022-09-03,"2022"
"29","LL-C","Estacion","C","3/9/22",4,"C","29","priach","priach","priach","priach","3",2.1,"Y","Y","N","29",NA,NA,NA,2022-09-03,"2022"
"30","LL-C","Estacion","C","3/9/22",4,"C","30","priach","priach","priach","priach","3",2.7,"Y","Y","N","30",NA,NA,NA,2022-09-03,"2022"
"31","LL-N","Estacion","N","3/9/22",1,"B","31","priach","priach","priach","priach","2",2.6,"Y","Y","N","31",NA,NA,NA,2022-09-03,"2022"
"32","LL-N","Estacion","N","3/9/22",1,"B","32","priach","priach","priach","priach","2",2.6,"Y","Y","N","32",NA,"escapó uno de 1C",NA,2022-09-03,"2022"
"33","LL-N","Estacion","N","3/9/22",1,"D","33","priach","priach","priach","priach","2",2.9,"Y","Y","N","33",NA,NA,NA,2022-09-03,"2022"
