Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ_ID,FVE_ID,DFM_ID,Final_ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...21,sample_date,year
LL-N,Estacion,N,06/09/22,4,C,66,epibou,epibou,epibou,epiesp,0002,1.6,Y,Y,N,66,NA,NA,NA,2022-09-06,2022
FCAT-V2,Estacion,V,08/09/22,1,C,93,oopsyl,oopsyl,oopsyl,oopsyl,0030,2.5,Y,Y,N,93,NA,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,1,B,97,oopsyl,oopsyl,oopsyl,oopsyl,0030 + 0040,1.8,Y,Y,N,93,NA,"mal corté, tuve que arreglarlo",NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,2,D,101,epiesp,epiesp,epiesp,epiesp,0030 + 0040,1.8,Y,Y,N,101,NA,Epipedobates espinosai,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,3,A,102,oopsyl,oopsyl,oopsyl,oopsyl,0040,2.2,Y,Y,N,93,NA,NA,NA,2022-09-08,2022
FCAT-B2,Estacion,B,08/09/22,4,D,105,leubil,leubil,leubil,leubil,0040,2.5,Y,Y,N,105,colectado,muerto - tomamos el individuo para llevar al USFQ,NA,2022-09-08,2022
FCAT-B2,Estacion,B,10/09/22,1,A,137,epibou,epibou,epibou,epiesp,0040,1.6,Y,Y,N,137,NA,NA,NA,2022-09-10,2022
FCAT-B2,Estacion,B,13/09/22,1,C,188,oopsyl,oopsyl,oopsyl,oopsyl,4000 + 0040 + 0030,3.1,Y,Y,N,188,NA,mal corté pero arreglado,NA,2022-09-13,2022
FCAT-B2,Estacion,B,13/09/22,3,B,193,lepper,leprho,leppen,lepper,0040,11.7,Y,Y,N,193,NA,SEQUENCED - lepper,NA,2022-09-13,2022
AL-N,Estacion,N,14/09/22,4,C,204,prilab,priesm,prilat,prilatic,0200,1.4,Y,Y,N,204,colectado,"Pristimantis cf. laticlavius confirmado por sequencia traido a la USFQ, FVE no esta seguro que es P. esmeraldas",NA,2022-09-14,2022
FCAT-B1,Estacion,B,15/09/22,3,A,231,epibou,epibou,epibou,epiesp,0500,1.9,Y,Y,N,231,NA,NA,NA,2022-09-15,2022
FCAT-B1,Estacion,B,15/09/22,3,C,233,oopsyl,oopsyl,oopsyl,oopsyl,0500,2.1,Y,Y,N,233,NA,NA,NA,2022-09-15,2022
