Sitio,total_individuals,priach_individuals,priach_percentage,Tipo,Elevation,Pair,harvested
AL-N,34,30,88.23529411764706,N,542,1,Yes
AZ-C,25,21,84,C,356,4,Yes
AZ-N,34,31,91.17647058823529,N,351,4,Yes
DB-C,82,14,17.073170731707318,C,365,15,Yes
DB-N,114,60,52.63157894736842,N,377,15,Yes
DG-B,58,38,65.51724137931035,B,535,6,No
DG-C,176,170,96.5909090909091,C,559,6,Yes
DG-N,124,120,96.7741935483871,N,504,6,Yes
DG-V,88,69,78.4090909090909,V,546,5,No
FCAT-B1,39,24,61.53846153846154,B,470,13,No
FCAT-B2,66,47,71.21212121212122,B,500,9,No
FCAT-B3,76,68,89.47368421052632,B,420,12,No
FCAT-V1,94,71,75.53191489361703,V,489,13,No
FCAT-V2,45,40,88.88888888888889,V,490,9,No
FLL-B,34,20,58.82352941176471,B,350,14,No
FLL-C,118,94,79.66101694915254,C,360,14,Yes
FLL-V,99,55,55.55555555555556,V,356,14,No
GP-C,53,47,88.67924528301887,C,338,11,Yes
GP-N,45,39,86.66666666666667,N,355,11,Yes
JS-N,70,14,20,N,342,14,Yes
JZ-C,55,47,85.45454545454545,C,513,8,Yes
JZ-N,35,28,80,N,515,8,Yes
JZJ-C,99,93,93.93939393939394,C,520,1,Yes
LG-C,53,40,75.47169811320755,C,410,3,Yes
LG-N,82,62,75.60975609756098,N,416,3,Yes
LL-C,58,55,94.82758620689656,C,482,7,Yes
LL-N,71,67,94.36619718309859,N,504,7,Yes
PM-C,81,66,81.48148148148148,C,428,2,Yes
PM-N,61,52,85.24590163934425,N,449,2,Yes
PV-N,87,77,88.50574712643679,N,347,10,Yes
VC-C,6,4,66.66666666666666,C,375,10,Yes
VC-N,90,85,94.44444444444444,N,333,10,Yes
