Sitio,num_ind,no_species,Tipo,Pair,forest_cover_400,water_dist,forest_cover_400_scaled,water_dist_scaled,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled,Elevation,elevation_scaled
AL-N,34,4,N,1,0.319,264,-0.6820752598428972,0.6359846127651714,64.53125,54.53125,57.625,1.4110670320422627,-0.13613994853307632,-0.38127694356306435,542,1.4125539365997044
AZ-C,25,4,C,4,0.399,196,-0.31988636434449097,0,6.875,11.25,14.953125,-1.4923958661696923,-1.8350171778239877,-2.2840908370634128,356,-1.0265296232034407
AZ-N,34,3,N,4,0.351,174,-0.5371997016435349,-0.20575972765932013,15,72.1875,82.625,-1.0832357829528314,0.5569038309249489,0.7335169889160851,351,-1.0920963855637402
DB-C,82,5,C,15,0.229,174,-1.0895377672786042,-0.20575972765932013,8.854166666666666,67.23958333333333,39.296875,-1.392728666411739,0.3626880225222573,-1.198560245311841,365,-0.9085094509549013
DB-N,114,9,N,15,0.364,210,-0.4783440061250438,0.13093800851047646,28.125,70,67.09375,-0.42228487929482544,0.47103999984165373,0.040951258363413505,377,-0.7511492212901822
DG-B,59,8,B,6,0.716,178,1.1152871340679436,-0.1683488680848983,57.65625,78.90625,93.609375,1.064854653935688,0.8206284549664984,1.2233295729991114,535,1.320760469295285
DG-C,176,4,C,6,0.562,159,0.41807351023351186,-0.34605045106340204,46.71875,22.34375,61.078125,0.5140622342206831,-1.399564891615848,-0.22729603163938183,559,1.635480928624723
DG-N,124,3,N,6,0.598,13,0.5810585132077943,-1.7115468255297994,15.78125,82.34375,82.515625,-1.0438934672589024,0.955557332383105,0.7286397654614889,504,0.9142465426614275
DG-V,88,8,V,5,0.502,353,0.14643183860970696,1.4683762382960575,41.25,82.34375,86.4375,0.23866602436318055,0.955557332383105,0.9035230636191555,546,1.465007346487944
FCAT-B1,39,7,B,13,0.973,129,2.2788189608565736,-0.6266318978715659,42.34375,76.5625,92.84375,0.29374526633468107,0.7286314930915393,1.1891890088169375,470,0.46839255861139023
FCAT-B2,66,10,B,9,0.866,122,1.7943913131274551,-0.6921009021268041,60.46875,83.28125,88.421875,1.2064869904338322,0.9923561171330887,0.992009832009688,500,0.8617931327731878
FCAT-B3,79,5,B,12,0.866,334,1.7943913131274551,1.2906746553175537,60.631793478260875,85.25815217391305,92.1875,1.214697560665609,1.069953554540663,1.1599256680893597,420,-0.18727506499160573
FCAT-V1,94,7,V,13,0.998,66,2.3920029906998255,-1.2158529361687098,58.4375,86.875,92.015625,1.104196969629617,1.1334181253413593,1.1522614598035656,489,0.7175462555805288
FCAT-V2,45,4,V,9,0.849,101,1.7174261728340439,-0.8885079148925188,55.15625,93.4375,88.609375,0.9389592437151155,1.3910096185912448,1.0003707865032816,490,0.7306596080525887
FLL-B,34,4,B,14,0.322,60,-0.668493176261707,-1.2719692255303428,51.09375,85.15625,86.453125,0.7343792021066851,1.065953686633056,0.9042198098269549,350,-1.1052097380358001
