Sitio,num_ind,no_species,Tipo,Pair,forest_cover_400,water_dist,forest_cover_400_scaled,water_dist_scaled,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled,Elevation,elevation_scaled
AL-N,4,3,N,1,0.319,264,-0.4825814328579772,0.5796117373532405,64.53125,54.53125,57.625,1.71645000133954,0.2974624767491771,0.04477835352192387,542,1.5421126237396914
AZ-C,4,3,C,4,0.399,196,0.29700578088976576,-0.0596779362860178,6.875,11.25,14.953125,-1.188530953466765,-1.600834791400082,-2.1444049588789373,356,-0.8788627173092632
AZ-N,3,2,N,4,0.351,174,-0.17074654735888034,-0.2665069483457778,15,72.1875,82.625,-0.7791569435753615,1.0718581132143983,1.327346387151136,351,-0.9439426995955255
DB-C,68,4,C,15,0.229,174,-1.3596170483241878,-0.2665069483457778,8.854166666666666,67.23958333333333,39.296875,-1.088811643365013,0.854844586771342,-0.8955043361324923,365,-0.7617187491939912
DB-N,54,8,N,15,0.364,210,-0.04406362512487203,0.07194052593382949,28.125,70,67.09375,-0.1178604660584791,0.9759152909974682,0.5305509962589879,377,-0.6055267917069619
DG-C,6,3,C,6,0.562,159,1.885414728900792,-0.40752672929561423,46.71875,22.34375,61.078125,0.818976210423771,-1.1142676215856508,0.2219330631669588,559,1.763384563512983
DG-N,4,2,N,6,0.598,13,2.2362289750872755,-1.7801192638740218,15.78125,82.34375,82.515625,-0.7397940580088804,1.517306930650145,1.3217351520040082,504,1.0475047583640986
FLL-C,24,6,C,14,0.356,115,-0.12202234649964638,-0.8211847534151343,29.53125,53.75,74.71875,-0.047007272038813115,0.2631971831002735,0.9217342465158976,360,-0.8267987314802534
GP-C,6,3,C,11,0.42,340,0.5016474244985478,1.2941119608324114,58.90625,25.9375,50.690625,1.433037225260876,-0.9566472708006944,-0.310973954805979,338,-1.1131506535398072
GP-N,6,4,N,11,0.4,346,0.30675062106161255,1.350519873212346,56.40625,59.84375,67.140625,1.3070759914481367,0.5304664735617215,0.5329558113220427,355,-0.8918787137665156
JS-N,56,7,N,14,0.325,125,-0.4241123918268964,-0.7271715661152434,6.25,80.9375,83.078125,-1.2200212619199498,1.4556294020821186,1.3505929327606654,342,-1.0610866677107975
JZ-C,8,6,C,8,0.533,57,1.602814363917235,-1.3664612397545015,30.677083333333332,11.822916666666666,45.703125,0.010724960125359098,-1.5757069093908862,-0.5668462775150066,513,1.1646487264793706
JZ-N,7,4,N,8,0.556,68,1.8269456878697112,-1.2630467337246216,68.38541666666667,49.58333333333333,72.328125,1.910640236800847,0.0804489503061208,0.7990886783001042,515,1.1906807193938753
JZJ-C,6,3,C,1,0.333,278,-0.3461536704521221,0.7112301995730878,40.46875,20.78125,24.828125,0.5040731258919222,-1.182798208883458,-1.6377905855953987,520,1.2557607016801375
LG-C,13,6,C,3,0.392,405,0.2287918996868382,1.9051976782817024,47.5,42.1875,39.703125,0.8583390959902522,-0.24392916290349967,-0.8746626055860175,410,-0.17599890861763123
LG-N,20,5,N,3,0.322,317,-0.45334691234243685,1.0778816300426624,50.78125,36.875,51.84375,1.0236632153694727,-0.4769331597160441,-0.2518155042548314,416,-0.09790292987411657
LL-C,3,2,C,7,0.233,268,-1.3206376876368007,0.6172170122731968,9.84375,43.75,41.484375,-1.0389519883141367,-0.1753985756056925,-0.7832796331899362,482,0.7611528363045448
LL-N,4,1,N,7,0.231,298,-1.3401273679804941,0.8992565741728696,26.458333333333332,37.864583333333336,58.59375,-0.20183462193363882,-0.43353045442743277,0.09447786482505584,504,1.0475047583640986
PM-C,15,6,C,2,0.306,254,-0.6092643550919855,0.48559855005334956,4.84375,30,41.859375,-1.2908744559396157,-0.7784677438263957,-0.764041112685498,428,0.05828902761291277
PM-N,9,3,N,2,0.298,289,-0.6872230764667598,0.8146447056029678,9.84375,47.1875,61.0625,-1.0389519883141367,-0.024631283550516678,0.22113145814594054,449,0.33162495321521407
PV-N,10,5,N,10,0.323,122,-0.44360207217059006,-0.7553755223052107,18.802083333333336,77.1875,70.546875,-0.5875909004851534,1.2911559925673812,0.7077057059040228,347,-0.9960066854245352
VC-C,2,2,C,10,0.317,150,-0.5020711132016707,-0.49213859786551606,22.03125,19.53125,29.96875,-0.42489097347703164,-1.237622678721704,-1.374062533680392,375,-0.6315587846214668
VC-N,5,3,N,10,0.309,32,-0.5800298345764452,-1.601494208004229,34.0625,81.09375,86.5625,0.18129746424677726,1.4624824608118994,1.5293508524477368,333,-1.1782306358260695
