Sitio,year,num_ind,species,no_species,Tipo,Fecha,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,sample_date,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled
AL-N,2022,23,,3,N,09/09/22,1,57.5,56.25,1,51.8125,0.35101496840517377,0.319,264,50-75,50-75,50-75,0.7779017607055099,0.2925112965973508,-0.254341268304206,-0.47190227282942904,0.5626307659805917,2022-09-09,51.25,54.6875,57.625,0.6627992604917619,0.2667928604304591,0.027767581565623378
AL-N,2023,11,,3,N,17/01/23,1,100,51.25,1,51.8125,0.35101496840517377,0.319,264,95-100,50-75,50-75,2.042265038947729,0.11473176899631342,-0.254341268304206,-0.47190227282942904,0.5626307659805917,2023-01-17,77.8125,54.375,57.625,1.547583044277314,0.254282502499084,0.027767581565623378
AZ-C,2022,25,,4,C,14/11/22,1,18.75,6.25,4,27.4375,0.25989414324502547,0.399,196,10-25,5-10,25-50,-0.37490005180945485,-1.485283979413023,-1.4237107443984014,0.2949933875397081,-0.065969402732601,2022-11-14,6.875,11.25,14.953125,-0.8153101194793957,-1.472146892030672,-2.291614923127363
AZ-N,2022,34,,3,N,14/11/22,1,25,66.25,4,80.4375,0.12171248639249743,0.351,174,25-50,50-75,75-95,-0.18896427559736376,0.6480703517994256,1.1189182702884646,-0.1651440086817745,-0.2693400455515751,2022-11-14,15,72.1875,82.625,-0.5446703738508739,0.9673729045874615,1.3866148929932243
DB-C,2022,29,,3,C,08/10/22,1,0,78.75,15,53.1875,0.22329972749968552,0.229,174,0,75-95,50-75,-0.9327073804457281,1.092519170802019,-0.18837683631940527,-1.3346598907447083,-0.2693400455515751,2022-10-08,1.25,59.375,39.296875,-1.0026760972222186,0.4544482294010847,-0.9684373536247366
DB-C,2023,53,,5,C,14/02/23,1,45,85,15,53.1875,0.22329972749968552,0.229,174,25-50,75-95,50-75,0.4060302082813277,1.3147435803033158,-0.18837683631940527,-1.3346598907447083,-0.2693400455515751,2023-02-14,16.458333333333336,75.10416666666667,39.296875,-0.49609400925088276,1.0841362452802954,-0.9684373536247366
DB-N,2022,72,,6,N,08/10/22,1,2.5,90,15,67.625,0.07926003071293163,0.364,210,1-5,75-95,50-75,-0.8583330699608916,1.4925231079043533,0.5042496995210027,-0.04052346387178962,0.0634482790612916,2022-10-08,3.125,75.3125,67.09375,-0.9402207713079442,1.092476483901212,0.5424310007688272
DB-N,2023,42,,6,N,14/02/23,1,31.25,81.25,15,67.625,0.07926003071293163,0.364,210,25-50,75-95,50-75,-0.0030284993852726892,1.1814089346025378,0.5042496995210027,-0.04052346387178962,0.0634482790612916,2023-02-14,53.125,64.6875,67.09375,0.7252545864060361,0.6671243142344605,0.5424310007688272
DG-C,2022,120,,3,C,07/11/22,1,17.5,8.75,6,79.1875,0.18186031038732434,0.562,159,10-25,5-10,75-95,-0.4120872070518731,-1.3963942156125044,1.0589506048477366,1.8575432955418252,-0.4080018474736029,2022-11-07,5.625,17.5,61.078125,-0.8569470034222453,-1.2219397334031712,0.21545836645656077
DG-C,2023,56,,2,C,21/02/23,1,70,22.5,6,79.1875,0.18186031038732434,0.562,159,50-75,10-25,75-95,1.1497733131296919,-0.9075005147096515,1.0589506048477366,1.8575432955418252,-0.4080018474736029,2023-02-21,87.8125,27.1875,61.078125,1.88067811582011,-0.8341186375305448,0.21545836645656077
DG-N,2022,85,,1,N,07/11/22,1,7.5,88.75,6,89.75,0.04503010456075076,0.598,13,5-10,75-95,75-95,-0.7095844489912188,1.4480782260040939,1.5656773778218878,2.202646342707936,-1.75764338618134,2022-11-07,12.5,71.5625,82.515625,-0.627944141736573,0.9423521887247114,1.3806699360057286
DG-N,2023,39,,3,N,21/02/23,1,13.75,100,6,89.75,0.04503010456075076,0.598,13,10-25,95-100,75-95,-0.5236486727791277,1.848082163106428,1.5656773778218878,2.202646342707936,-1.75764338618134,2023-02-21,19.0625,93.125,82.515625,-0.409350501036613,1.8055668859895895,1.3806699360057286
FLL-C,2022,75,,6,C,03/10/22,1,8.75,58.75,14,87.875,0.047235313059885334,0.356,115,5-10,50-75,75-95,-0.6723972937488005,0.38140106039786953,1.475725879660796,-0.11721302990870339,-0.8147431331115511,2022-10-03,12.1875,72.8125,74.71875,-0.6383533627222853,0.9923936204502116,0.9568794307542455
FLL-C,2023,43,,6,C,08/02/23,1,11.25,41.25,14,87.875,0.047235313059885334,0.356,115,10-25,25-50,75-95,-0.5980229832639641,-0.24082728620576135,1.475725879660796,-0.11721302990870339,-0.8147431331115511,2023-02-08,46.875,34.6875,74.71875,0.5170701666917885,-0.5338700471775437,0.9568794307542455
