Sitio,year,num_ind,no_species,Tipo,Pair,forest_cover_400,water_dist,forest_cover_400_scaled,water_dist_scaled,site_mean_veg,site_mean_hoja,site_mean_CC,site_mean_veg_scaled,site_mean_hoja_scaled,site_mean_CC_scaled
AL-N,2022,23,3,N,1,0.319,264,-0.47190227282942904,0.5626307659805917,64.53125,54.53125,57.625,1.6818000955441175,0.2926407958654156,0.027767581565623378
AL-N,2023,11,3,N,1,0.319,264,-0.47190227282942904,0.5626307659805917,64.53125,54.53125,57.625,1.6818000955441175,0.2926407958654156,0.027767581565623378
AZ-C,2022,25,4,C,4,0.399,196,0.2949933875397081,-0.065969402732601,6.875,11.25,14.953125,-1.2406800704838161,-1.6535429182166095,-2.291614923127363
AZ-N,2022,34,3,N,4,0.351,174,-0.1651440086817745,-0.2693400455515751,15,72.1875,82.625,-0.8288400470869257,1.0865713362671081,1.3866148929932243
DB-C,2022,29,3,C,15,0.229,174,-1.3346598907447083,-0.2693400455515751,8.854166666666668,67.23958333333333,39.296875,-1.1403600647845735,0.8640834267150111,-0.9684373536247366
DB-C,2023,53,5,C,15,0.229,174,-1.3346598907447083,-0.2693400455515751,8.854166666666668,67.23958333333333,39.296875,-1.1403600647845735,0.8640834267150111,-0.9684373536247366
DB-N,2022,72,6,N,15,0.364,210,-0.04052346387178962,0.0634482790612916,28.125,70,67.09375,-0.163560009291949,0.9882082604651284,0.5424310007688272
DB-N,2023,42,6,N,15,0.364,210,-0.04052346387178962,0.0634482790612916,28.125,70,67.09375,-0.163560009291949,0.9882082604651284,0.5424310007688272
DG-C,2022,120,3,C,6,0.562,159,1.8575432955418252,-0.4080018474736029,46.71875,22.34375,61.078125,0.7789200442509348,-1.1547016052208556,0.21545836645656077
DG-C,2023,56,2,C,6,0.562,159,1.8575432955418252,-0.4080018474736029,46.71875,22.34375,61.078125,0.7789200442509348,-1.1547016052208556,0.21545836645656077
DG-N,2022,85,1,N,6,0.598,13,2.202646342707936,-1.75764338618134,15.78125,82.34375,82.515625,-0.7892400448372248,1.5432570453477277,1.3806699360057286
