Sitio,Tipo,Elevation,Pair,harvested
AL-N,N,542,1,Yes
JZJ-C,C,520,1,Yes
PM-N,N,449,2,Yes
PM-C,C,428,2,Yes
LG-N,N,416,3,Yes
LG-C,C,410,3,Yes
AZ-N,N,351,4,Yes
AZ-C,C,356,4,Yes
DG-V,V,546,5,No
DG-N,N,504,6,Yes
DG-C,C,559,6,Yes
LL-C,C,482,7,Yes
JZ-N,N,515,8,Yes
JZ-C,C,513,8,Yes
LL-N,N,504,7,Yes
FCAT-V2,V,490,9,No
FCAT-B2,B,500,9,No
VC-N,N,333,10,Yes
VC-C,C,375,10,Yes
PV-N,N,347,10,Yes
GP-C,C,338,11,Yes
GP-N,N,355,11,Yes
FCAT-B3,B,420,12,No
DG-B,B,535,6,No
FCAT-B1,B,470,13,No
FCAT-V1,V,489,13,No
FLL-V,V,356,14,No
JS-N,N,342,14,Yes
DB-C,C,365,15,Yes
DB-N,N,377,15,Yes
FLL-C,C,360,14,Yes
FLL-B,B,350,14,No
