Sitio,Tipo,Elevation,Pair,harvested,species,no_species
AL-N,N,542,1,Yes,,1
JZJ-C,C,520,1,Yes,,0
PM-N,N,449,2,Yes,,0
PM-C,C,428,2,Yes,,0
LG-N,N,416,3,Yes,,0
LG-C,C,410,3,Yes,,0
AZ-N,N,351,4,Yes,,0
AZ-C,C,356,4,Yes,,0
DG-V,V,546,5,No,,3
DG-N,N,504,6,Yes,,0
DG-C,C,559,6,Yes,,0
LL-C,C,482,7,Yes,,0
JZ-N,N,515,8,Yes,,0
JZ-C,C,513,8,Yes,,0
LL-N,N,504,7,Yes,,1
FCAT-V2,V,490,9,No,,2
FCAT-B2,B,500,9,No,,5
VC-N,N,333,10,Yes,,0
VC-C,C,375,10,Yes,,0
PV-N,N,347,10,Yes,,0
GP-C,C,338,11,Yes,,0
GP-N,N,355,11,Yes,,1
FCAT-B3,B,420,12,No,,1
DG-B,B,535,6,No,,1
FCAT-B1,B,470,13,No,,3
FCAT-V1,V,489,13,No,,1
FLL-V,V,356,14,No,,1
JS-N,N,342,14,Yes,,1
DB-C,C,365,15,Yes,,1
DB-N,N,377,15,Yes,,0
FLL-C,C,360,14,Yes,,1
FLL-B,B,350,14,No,,1
