Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
AL-N,N,1,78.75,53.75,1,51.8125,0.35101496840517377,0.319,264,75-95,50-75,50-75,1.8729356481374038,-0.1557621962571527,-0.6009538137955563,-0.6820752598428972,0.6359846127651714,2,10
AL-N,N,2,36.875,61.25,1,74.4375,0.21328379219773852,0.319,264,25-50,50-75,50-75,0.01615657354376688,0.11913790046099271,0.34569267903913076,-0.6820752598428972,0.6359846127651714,2,8
AL-N,N,3,54.375,78.75,1,43.125,0.41216535183428266,0.319,264,50-75,75-95,25-50,0.7921239480008092,0.7605714594699987,-0.9644451466795937,-0.6820752598428972,0.6359846127651714,2,10
AL-N,N,4,88.125,24.375,1,61.125,0.265407845937139,0.319,264,75-95,10-25,50-75,2.2886324558822477,-1.2324542417365556,-0.2113120253083509,-0.6820752598428972,0.6359846127651714,2,6
AZ-C,C,1,18.75,6.25,4,27.4375,0.25989414324502547,0.399,196,10-25,5-10,25-50,-0.7875239214295984,-1.8967961421387405,-1.6208215823191143,-0.31988636434449097,0,4,18
AZ-C,C,2,5,8.75,4,4.5,0.5462178223612084,0.399,196,5-10,5-10,1-5,-1.397212572788703,-1.8051627765660252,-2.5805433029553857,-0.31988636434449097,0,1,1
AZ-C,C,3,2.5,16.25,4,8.5,0.7800127168986701,0.399,196,1-5,10-25,5-10,-1.508065054853995,-1.5302626798478798,-2.4131803870951094,-0.31988636434449097,0,1,4
AZ-C,C,4,1.25,13.75,4,19.375,1.2205433133986139,0.399,196,1-5,10-25,10-25,-1.5634912958866407,-1.621896045420595,-1.9581624595999836,-0.31988636434449097,0,2,2
AZ-N,N,1,25,66.25,4,80.4375,0.12171248639249743,0.351,174,25-50,50-75,75-95,-0.510392716266369,0.302404631606423,0.596737052829545,-0.5371997016435349,-0.20575972765932013,2,18
AZ-N,N,2,12.5,73.75,4,84.5,0.08195497686120999,0.351,174,10-25,50-75,75-95,-1.0646551265928277,0.5773047283245685,0.7667150142501381,-0.5371997016435349,-0.20575972765932013,2,6
AZ-N,N,3,13.75,75,4,82.0625,0.047416244984838936,0.351,174,10-25,75-95,75-95,-1.0092288855601819,0.623121411110926,0.6647282373977822,-0.5371997016435349,-0.20575972765932013,2,8
AZ-N,N,4,8.75,73.75,4,83.5,0.03465819431973122,0.351,174,5-10,50-75,75-95,-1.2309338496907654,0.5773047283245685,0.724874285285069,-0.5371997016435349,-0.20575972765932013,1,2
DB-C,C,1,7.916666666666667,83.125,15,53.1875,0.22329972749968552,0.229,174,5-10,75-95,50-75,-1.2678846770458625,0.9209298492222502,-0.5434228114685864,-1.0895377672786042,-0.20575972765932013,4,16
DB-C,C,2,10.416666666666666,80,15,47.375,0.3870752269457544,0.229,174,10-25,75-95,25-50,-1.157032194980571,0.8063881422563562,-0.7866220485780503,-1.0895377672786042,-0.20575972765932013,4,37
DB-C,C,3,8.958333333333334,63.75,15,27.9375,1.026300424370214,0.229,174,5-10,50-75,25-50,-1.221696142851991,0.21077126603370785,-1.59990121783658,-1.0895377672786042,-0.20575972765932013,4,21
DB-C,C,4,8.125,42.083333333333336,15,28.6875,0.45900783963606373,0.229,174,5-10,25-50,25-50,-1.2586469702070884,-0.5833845689298233,-1.5685206711127782,-1.0895377672786042,-0.20575972765932013,3,8
DB-N,N,1,16.875,85.625,15,67.625,0.07926003071293163,0.364,210,10-25,75-95,50-75,-0.8706632829785672,1.0125632147949652,0.0606527129645979,-0.4783440061250438,0.13093800851047646,4,23
DB-N,N,2,27.5,87.5,15,71.625,0.19273211437736157,0.364,210,25-50,75-95,50-75,-0.3995402342010772,1.0812882389745018,0.22801562882487408,-0.4783440061250438,0.13093800851047646,6,35
DB-N,N,3,29.375,63.125,15,64.3125,0.02445686567952948,0.364,210,25-50,50-75,50-75,-0.31640087265210837,0.18786292464052906,-0.07794470173219331,-0.4783440061250438,0.13093800851047646,6,33
DB-N,N,4,38.75,43.75,15,64.8125,0.3156279428561218,0.364,210,25-50,25-50,50-75,0.0992959350927357,-0.5222956585480133,-0.057024337249658795,-0.4783440061250438,0.13093800851047646,5,23
DG-B,B,1,47.5,76.25,6,93,0.01005821878165038,0.716,178,25-50,75-95,75-95,0.4872796223212568,0.6689380938972835,1.122361210453225,1.1152871340679436,-0.1683488680848983,5,24
