Sitio,Transecto,num_ind,num_species,Tipo,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled
AL-N,1,10,2,N,78.75,53.75,1,51.8125,0.35101496840517377,0.319,264,75-95,50-75,50-75,2.130334886770981,0.2393740031682336,-0.22677704487948955,-0.4825814328579772,0.5796117373532405
AL-N,2,8,2,N,36.875,61.25,1,74.4375,0.21328379219773852,0.319,264,25-50,50-75,50-75,0.2828390969586194,0.5385463422222676,0.8119212033692892,-0.4825814328579772,0.5796117373532405
AL-N,3,10,2,N,54.375,78.75,1,43.125,0.41216535183428266,0.319,264,50-75,75-95,25-50,1.0549268897160244,1.236615133348347,-0.6256142175496008,-0.4825814328579772,0.5796117373532405
AL-N,4,6,2,N,88.125,24.375,1,61.125,0.265407845937139,0.319,264,75-95,10-25,50-75,2.5439533471767337,-0.9323843247933997,0.20075344956544977,-0.4825814328579772,0.5796117373532405
AZ-C,1,18,4,C,18.75,6.25,4,27.4375,0.25989414324502547,0.399,196,10-25,5-10,25-50,-0.5168232598258357,-1.6553841441739818,-1.345816594097787,0.29700578088976576,-0.0596779362860178
AZ-C,2,1,1,C,5,8.75,4,4.5,0.5462178223612084,0.399,196,5-10,5-10,1-5,-1.1234636684209396,-1.5556600311559705,-2.39886150323398,0.29700578088976576,-0.0596779362860178
AZ-C,3,4,1,C,2.5,16.25,4,8.5,0.7800127168986701,0.399,196,1-5,10-25,5-10,-1.2337619245291402,-1.2564876921019366,-2.2152242438750798,0.29700578088976576,-0.0596779362860178
AZ-C,4,2,2,C,1.25,13.75,4,19.375,1.2205433133986139,0.399,196,1-5,10-25,10-25,-1.2889110525832406,-1.3562118051199479,-1.71596044499307,0.29700578088976576,-0.0596779362860178
AZ-N,1,18,2,N,25,66.25,4,80.4375,0.12171248639249743,0.351,174,25-50,50-75,75-95,-0.24107761955533394,0.7379945682582904,1.0873770924076394,-0.17074654735888034,-0.2665069483457778
AZ-N,2,6,2,N,12.5,73.75,4,84.5,0.08195497686120999,0.351,174,10-25,50-75,75-95,-0.7925689000963375,1.0371669073123244,1.2738836839440224,-0.17074654735888034,-0.2665069483457778
AZ-N,3,8,2,N,13.75,75,4,82.0625,0.047416244984838936,0.351,174,10-25,75-95,75-95,-0.7374197720422371,1.08702896382133,1.1619797290221925,-0.17074654735888034,-0.2665069483457778
AZ-N,4,2,1,N,8.75,73.75,4,83.5,0.03465819431973122,0.351,174,5-10,50-75,75-95,-0.9580162842586385,1.0371669073123244,1.2279743691042972,-0.17074654735888034,-0.2665069483457778
DB-C,1,16,4,C,7.916666666666667,83.125,15,53.1875,0.22329972749968552,0.229,174,5-10,75-95,50-75,-0.9947823696280388,1.411132331129867,-0.16365173697486765,-1.3596170483241878,-0.2665069483457778
DB-C,2,37,4,C,10.416666666666666,80,15,47.375,0.3870752269457544,0.229,174,10-25,75-95,25-50,-0.884484113519838,1.2864771898573528,-0.43049962948076936,-1.3596170483241878,-0.2665069483457778
DB-C,3,21,4,C,8.958333333333334,63.75,15,27.9375,1.026300424370214,0.229,174,5-10,50-75,25-50,-0.9488247629162886,0.638270455240279,-1.3228619366779246,-1.3596170483241878,-0.2665069483457778
DB-C,4,8,3,C,8.125,42.083333333333336,15,28.6875,0.45900783963606373,0.229,174,5-10,25-50,25-50,-0.9855908482856888,-0.22600519091581925,-1.288429950548131,-1.3596170483241878,-0.2665069483457778
DB-N,1,23,4,N,16.875,85.625,15,67.625,0.07926003071293163,0.364,210,10-25,75-95,50-75,-0.5995469519069863,1.5108564441478782,0.49916399602366246,-0.04406362512487203,0.07194052593382949
DB-N,2,35,6,N,27.5,87.5,15,71.625,0.19273211437736157,0.364,210,25-50,75-95,50-75,-0.13077936344713323,1.5856495289113868,0.6828012553825625,-0.04406362512487203,0.07194052593382949
DB-N,3,33,6,N,29.375,63.125,15,64.3125,0.02445686567952948,0.364,210,25-50,50-75,50-75,-0.0480556713659827,0.6133394269857761,0.34708939061707333,-0.04406362512487203,0.07194052593382949
DB-N,4,23,5,N,38.75,43.75,15,64.8125,0.3156279428561218,0.364,210,25-50,25-50,50-75,0.36556278903976996,-0.15952244890381176,0.3700440480369358,-0.04406362512487203,0.07194052593382949
DG-C,1,42,2,C,43.75,15.625,6,79.1875,0.18186031038732434,0.562,159,25-50,10-25,75-95,0.5861593012561713,-1.2814187203564393,1.0299904488579832,1.885414728900792,-0.40752672929561423
DG-C,2,49,2,C,48.125,31.25,6,67.5,0.1632152928631904,0.562,159,25-50,25-50,50-75,0.7791812494455226,-0.6581430139938684,0.49342533166869684,1.885414728900792,-0.40752672929561423
DG-C,3,44,2,C,51.875,27.5,6,54.625,0.2385869319448063,0.562,159,50-75,25-50,50-75,0.9446286336078237,-0.8077291835208855,-0.0976570968927629,1.885414728900792,-0.40752672929561423
DG-C,4,41,2,C,43.125,15,6,43,1.0840282194010933,0.562,159,25-50,10-25,25-50,0.5585847372291212,-1.306349748610942,-0.6313528819045664,1.885414728900792,-0.40752672929561423
DG-N,1,29,2,N,10.625,94.375,6,89.75,0.04503010456075076,0.598,13,10-25,75-95,75-95,-0.875292592177488,1.859890839710918,1.5149075868525788,2.2362289750872755,-1.7801192638740218
DG-N,2,31,2,N,10.625,84.375,6,90.375,0.04030888519021557,0.598,13,10-25,75-95,75-95,-0.875292592177488,1.4609943876388725,1.543600908627407,2.2362289750872755,-1.7801192638740218
DG-N,3,36,1,N,11.875,76.25,6,74.75,0.17047016638628304,0.598,13,10-25,75-95,50-75,-0.8201434641233877,1.1368910203303357,0.8262678642567033,2.2362289750872755,-1.7801192638740218
DG-N,4,28,2,N,30,74.375,6,75.1875,0.07367128623782034,0.598,13,25-50,50-75,75-95,-0.020481107338932523,1.0620979355668272,0.846353189499083,2.2362289750872755,-1.7801192638740218
FLL-C,1,34,3,C,10,50,14,87.875,0.047235313059885334,0.356,115,10-25,50-75,75-95,-0.9028671562045382,0.08978783364121659,1.4288276215280944,-0.12202234649964638,-0.8211847534151343
FLL-C,2,29,4,C,15,57.5,14,73.0625,0.2874302415125995,0.356,115,10-25,50-75,50-75,-0.6822706439881367,0.38896017269525063,0.7487958954646673,-0.12202234649964638,-0.8211847534151343
FLL-C,3,28,5,C,33.125,66.25,14,74.1875,0.2441894155208574,0.356,115,25-50,50-75,50-75,0.11739171279631837,0.7379945682582904,0.800443874659358,-0.12202234649964638,-0.8211847534151343
FLL-C,4,27,6,C,60,41.25,14,63.75,0.2844691934638766,0.356,115,50-75,25-50,50-75,1.303097965959476,-0.2592465619218231,0.321265401019728,-0.12202234649964638,-0.8211847534151343
GP-C,1,6,2,C,68.75,20,11,34.5,1.0436963003545625,0.42,340,50-75,10-25,25-50,1.6891418623381782,-1.1069015225749195,-1.021582058042229,0.5016474244985478,1.2941119608324114
GP-C,2,14,2,C,63.75,36.25,11,63.6375,0.3157207698634268,0.42,340,50-75,25-50,50-75,1.468545350121777,-0.4586947879578458,0.31610060310025906,0.5016474244985478,1.2941119608324114
GP-C,3,17,3,C,52.5,27.5,11,57.25,0.17958874756935456,0.42,340,50-75,25-50,50-75,0.9722031976348738,-0.8077291835208855,0.022854854561515293,0.5016474244985478,1.2941119608324114
GP-C,4,16,1,C,50.625,20,11,47.375,0.6545592209511665,0.42,340,50-75,10-25,25-50,0.8894795055537233,-1.1069015225749195,-0.43049962948076936,0.5016474244985478,1.2941119608324114
GP-N,1,9,3,N,72.5,53.125,11,62.6875,0.30614291150009626,0.4,346,50-75,50-75,50-75,1.8545892465004794,0.21444297491373077,0.27248675400252015,0.30675062106161255,1.350519873212346
GP-N,2,8,3,N,21.25,80.625,11,75.375,0.22803708704662146,0.4,346,10-25,75-95,75-95,-0.406525003717635,1.3114082181118556,0.8549611860315315,0.30675062106161255,1.350519873212346
GP-N,3,16,3,N,58.75,55.625,11,73.5625,0.07952590847982056,0.4,346,50-75,50-75,50-75,1.2479488379053756,0.31416708793174214,0.7717505528845299,0.30675062106161255,1.350519873212346
GP-N,4,12,1,N,73.125,50,11,56.9375,0.5878549601561401,0.4,346,50-75,50-75,50-75,1.8821638105275296,0.08978783364121659,0.00850819367410122,0.30675062106161255,1.350519873212346
