Fecha,Holden,Darwin,Julio,Ind,Running,Project,Sampling Night
01/09/22,4,14,,18,18,Cacao Ranas,1
02/09/22,2,5,,7,25,Cacao Ranas,2
03/09/22,11,14,,25,50,Cacao Ranas,3
05/09/22,6,9,,15,65,Cacao Ranas,4
06/09/22,12,19,,31,96,Cacao Ranas,5
07/09/22,9,10,,19,115,Cacao Ranas,6
08/09/22,13,9,,22,137,Cacao Ranas,7
09/09/22,13,18,,31,168,Cacao Ranas,8
10/09/22,8,12,,20,188,Cacao Ranas,9
12/09/22,19,20,,39,227,Cacao Ranas,10
13/09/22,6,11,,17,244,Cacao Ranas,11
14/09/22,18,20,,38,282,Cacao Ranas,12
15/09/22,17,10,,27,309,Cacao Ranas,13
17/09/22,15,13,,28,337,Cacao Ranas,14
19/09/22,10,9,,19,356,Cacao Ranas,15
03/10/22,24,31,,55,411,Cacao Ranas,16
05/10/22,30,35,,65,476,Cacao Ranas,17
07/10/22,27,24,,51,527,Cacao Ranas,18
08/10/22,20,18,,38,565,Cacao Ranas,19
10/10/22,15,20,,35,600,Cacao Ranas,20
12/10/22,13,16,,29,629,Cacao Ranas,21
06/11/22,13,16,,29,658,Cacao Ranas,22
07/11/22,30,35,,65,723,Cacao Ranas,23
08/11/22,17,18,,35,758,Cacao Ranas,24
09/11/22,33,37,,70,828,Cacao Ranas,25
10/11/22,15,17,,32,860,Cacao Ranas,26
11/11/22,34,36,,70,930,Cacao Ranas,27
14/11/22,7,11,,18,948,Cacao Ranas,28
15/11/22,9,13,,22,970,Cacao Ranas,29
16/11/22,9,12,,21,991,Cacao Ranas,30
17/11/22,8,15,,23,1014,Cacao Ranas,31
18/11/22,7,13,,20,1034,Cacao Ranas,32
19/11/22,18,21,,39,1073,Cacao Ranas,33
21/11/22,8,9,,17,1090,Cacao Ranas,34
22/11/22,13,17,,30,1120,Cacao Ranas,35
23/11/22,8,10,,18,1138,Cacao Ranas,36
24/11/22,14,17,,31,1169,Cacao Ranas,37
25/11/22,6,8,,14,1183,Cacao Ranas,38
26/11/22,15,19,,34,1217,Cacao Ranas,39
27/11/22,20,20,,40,1257,Cacao Ranas,40
28/11/22,12,9,,21,1278,Cacao Ranas,41
29/11/22,11,16,,27,1305,Cacao Ranas,42
30/11/22,6,12,,18,1323,Cacao Ranas,43
01/12/22,17,20,,37,1360,Cacao Ranas,44
02/12/22,4,8,,12,1372,Cacao Ranas,45
09/01/23,,8,8,16,1388,Cacao Ranas,46
10/01/23,,11,11,22,1410,Cacao Ranas,47
11/01/23,,9,7,16,1426,Cacao Ranas,48
12/01/23,,8,4,12,1438,Cacao Ranas,49
13/01/23,,15,12,27,1465,Cacao Ranas,50
14/01/23,,9,8,17,1482,Cacao Ranas,51
16/01/23,,9,11,20,1502,Cacao Ranas,52
17/01/23,,3,2,5,1507,Cacao Ranas,53
18/01/23,,6,14,20,1527,Cacao Ranas,54
19/01/23,,8,5,13,1540,Cacao Ranas,55
20/01/23,,11,10,21,1561,Cacao Ranas,56
21/01/23,,3,4,7,1568,Cacao Ranas,57
23/01/23,,10,8,18,1586,Cacao Ranas,58
25/01/23,,11,6,17,1603,Cacao Ranas,59
27/01/23,,12,12,24,1627,Cacao Ranas,60
07/02/23,,11,11,22,1649,Cacao Ranas,61
08/02/23,,19,16,35,1684,Cacao Ranas,62
09/02/23,,12,10,22,1706,Cacao Ranas,63
10/02/23,,19,20,39,1745,Cacao Ranas,64
11/02/23,,6,4,10,1755,Cacao Ranas,65
12/02/23,,10,10,20,1775,Cacao Ranas,66
14/02/23,,14,17,31,1806,Cacao Ranas,67
16/02/23,,13,16,29,1835,Cacao Ranas,68
18/02/23,,20,15,35,1870,Cacao Ranas,69
20/02/23,,8,5,13,1883,Cacao Ranas,70
21/02/23,,18,15,33,1916,Cacao Ranas,71
22/02/23,,9,11,20,1936,Cacao Ranas,72
23/02/23,,18,13,31,1967,Cacao Ranas,73
24/02/23,,15,5,20,1987,Cacao Ranas,74
25/02/23,,16,15,31,2018,Cacao Ranas,75
04/03/23,,7,5,12,2030,Cacao Ranas,76
05/03/23,,9,6,15,2045,Cacao Ranas,77
06/03/23,,9,7,16,2061,Cacao Ranas,78
23/01/23,,,,42,42,Scinax,1
27/01/23,,,,32,74,Scinax,2
29/01/23,,,,30,104,Scinax,3
31/01/23,,,,144,248,Scinax,4
02/02/23,,,,128,376,Scinax,5
16/02/23,,,,83,459,Scinax,6
20/02/23,,,,46,505,Scinax,7
22/02/23,,,,291,796,Scinax,8
24/02/23,,,,79,875,Scinax,9
27/02/23,,,,78,953,Scinax,10
09/03/23,,,,104,1057,Scinax,11
11/03/23,,,,187,1244,Scinax,12
