Well,Concentration (Copies/無),Bd_Loads (Copies/無),Sample_ID
1,0,0,HJ 004
2,0,0,HJ 005
3,0,0,HJ 009
4,0,0,HJ 011
5,0,0,HJ 016
6,0,0,HJ 019
7,0,0,HJ 020
8,0,0,HJ 022
9,0,0,HJ 025
10,0,0,HJ 027
11,0,0,HJ 036
12,0,0,HJ 039
13,0,0,HJ 042
14,0,0,HJ 049
15,0,0,HJ 050
16,0,0,HJ 051
17,0,0,HJ 052
18,0,0,HJ 054
19,0,0,HJ 057
20,0,0,HJ 058
21,0,0,HJ 062
22,0,0,HJ 065
23,0,0,HJ 070
24,0,0,HJ 072
25,0,0,HJ 074
26,0,0,HJ 075
27,0,0,HJ 076
28,0,0,HJ 080
29,0,0,HJ 084
30,0,0,HJ 095
31,0,0,HJ 096
32,0,0,HJ 083
33,0,0,HJ 098
34,0,0,HJ 100
35,0,0,HJ 106
36,0,0,HJ 110
37,0,0,HJ 112
38,0,0,HJ 122
39,0,0,HJ 123
40,0,0,HJ 125
41,0.7578,7.578,HJ 128
42,0,0,HJ 135
43,0,0,HJ 138
44,0,0,HJ 139
45,0,0,HJ 140
46,0,0,HJ 143
47,0,0,HJ 144
48,0,0,HJ 145
49,0,0,HJ 146
50,0,0,HJ 149
51,0,0,HJ 153
52,0,0,HJ 154
53,0,0,HJ 157
54,0,0,HJ 166
55,0,0,HJ 173
56,0,0,HJ 178
57,0,0,HJ 179
58,0,0,HJ 182
59,0,0,HJ 183
60,0,0,HJ 184
61,0,0,HJ 185
62,0,0,HJ 190
63,0,0,HJ 191
64,0,0,HJ 195
65,0,0,HJ 197
66,0,0,HJ 200
67,0,0,HJ 201
68,0,0,HJ 202
69,0,0,HJ 208
70,0,0,HJ 214
71,0,0,HJ 227
72,0,0,HJ 228
73,1.411,14.11,HJ 230
74,0,0,HJ 231
75,0,0,HJ 232
76,0,0,HJ 233
77,0,0,HJ 234
78,0,0,HJ 236
79,0.4048,4.048,HJ 245
80,0,0,HJ 246
81,0,0,HJ 247
