Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...20
AL-N,Estacion,N,12/09/22,2,C,178,priach,priach,priach,priach,2000 + 0300 + 0200,4,Y,Y,N,166,NA,mal corté pero arreglado,NA
AL-N,Estacion,N,14/09/22,1,C,198,priach,priach,priach,priach,0200,2,Y,Y,N,198,NA,NA,NA
AL-N,Estacion,N,09/09/22,2,B,108,priach,priach,priach,priach,0200,2.1,Y,Y,N,108,NA,NA,NA
AL-N,Estacion,N,14/09/22,3,A,202,priach,priach,priach,priach,0200,2.9,Y,Y,N,200,NA,NA,NA
AL-N,Estacion,N,09/09/22,4,D,112,priach,priach,priach,priach,0200,1.8,Y,Y,N,106,NA,NA,NA
AL-N,Estacion,N,09/09/22,2,A,107,priach,priach,priach,priach,0200,2.3,Y,Y,N,106,NA,NA,NA
AL-N,Estacion,N,09/09/22,3,B,111,priach,priach,priach,priach,0200,2.1,Y,Y,N,111,NA,NA,NA
AL-N,Estacion,N,12/09/22,1,A,177,priach,priach,priach,priach,0200,2.4,Y,Y,N,169,NA,NA,NA
AL-N,Estacion,N,14/09/22,2,D,200,priach,priach,priach,priach,0200,2.9,Y,Y,N,200,NA,NA,NA
AL-N,Estacion,N,12/09/22,4,D,182,priach,priach,priach,priach,0200,3,Y,Y,N,182,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,1,D,758,priach,priach,priach,priach,0040,2.2,Y,Y,N,758,NA,NA,NA
AZ-C,Aniseto-Caucho,C,16/11/22,3,C,812,priach,priach,priach,priach,0040,3,Y,Y,N,812,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,1,D,760,priach,priach,priach,priach,0040,2.2,Y,Y,N,745,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,1,B,755,priach,priach,priach,priach,0040,2.7,Y,Y,N,755,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,1,B,754,priach,priach,priach,priach,0040,3.7,Y,Y,N,754,NA,NA,NA
AZ-C,Aniseto-Caucho,C,16/11/22,1,D,811,priach,priach,priach,priach,0040,2.3,Y,Y,N,R167,NA,NA,NA
AZ-C,Aniseto-Caucho,C,18/11/22,3,D,847,priach,priach,priach,priach,0040,2.4,Y,Y,N,838,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,1,B,756,priach,priach,priach,priach,0040,2.6,Y,Y,N,745,NA,NA,NA
AZ-C,Aniseto-Caucho,C,18/11/22,3,C,845,priach,priach,priach,priach,0040,2.3,Y,Y,N,838,NA,NA,NA
AZ-C,Aniseto-Caucho,C,16/11/22,1,A,807,priach,priach,priach,priach,0040,2.6,Y,Y,N,807,NA,NA,NA
AZ-N,Aniseto-Caucho,N,16/11/22,3,C,805,priach,priach,priach,priach,0030,2.7,Y,Y,N,798,NA,NA,NA
AZ-N,Aniseto-Caucho,N,14/11/22,1,D,749,priach,priach,priach,priach,0030,3.1,Y,Y,N,749,NA,NA,NA
AZ-N,Aniseto-Caucho,N,18/11/22,3,D,840,priach,priach,priach,priach,0030,2.7,Y,Y,N,R175,NA,NA,NA
AZ-N,Aniseto-Caucho,N,14/11/22,2,C,750,priach,priach,priach,priach,0030,3.7,Y,Y,N,745,NA,NA,NA
AZ-N,Aniseto-Caucho,N,18/11/22,3,D,841,priach,priach,priach,priach,0030,2.2,Y,Y,N,837,NA,NA,NA
AZ-N,Aniseto-Caucho,N,16/11/22,1,D,798,priach,priach,priach,priach,0030,2.5,Y,Y,N,798,NA,NA,NA
AZ-N,Aniseto-Caucho,N,14/11/22,1,B,745,priach,priach,priach,priach,0030,3.9,Y,Y,N,745,NA,NA,NA
AZ-N,Aniseto-Caucho,N,14/11/22,1,B,746,priach,priach,priach,priach,0030,2.6,Y,Y,N,746,NA,NA,NA
AZ-N,Aniseto-Caucho,N,18/11/22,1,C,836,priach,priach,priach,priach,0030,2.3,Y,Y,N,R171,NA,NA,NA
AZ-N,Aniseto-Caucho,N,18/11/22,2,A,838,priach,priach,priach,priach,0030,2.7,Y,Y,N,838,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,A,445,priach,priach,priach,priach,0040,3.7,Y,Y,N,436,NA,NA,NA
DB-N,Laguna,N,12/10/22,3,B,510,priach,priach,priach,priach,0040,2.3,Y,Y,N,505,NA,NA,NA
DB-N,Laguna,N,10/10/22,1,D,474,priach,priach,priach,priach,0040,1.7,Y,Y,N,474,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,C,449,priach,priach,priach,priach,4040,2.9,Y,Y,N,449,NA,NA,NA
DB-N,Laguna,N,12/10/22,3,C,511,priach,priach,priach,priach,0040,4.2,Y,Y,N,507,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,D,450,priach,priach,priach,priach,0040,2.7,Y,Y,N,450,NA,NA,NA
DB-N,Laguna,N,12/10/22,3,C,512,barpul,barpul,priach,priach,0040,2.3,Y,Y,N,502,NA,NA,NA
DB-N,Laguna,N,08/10/22,3,C,455,priach,priach,priach,priach,0040,2.6,Y,Y,N,455,NA,NA,NA
DB-N,Laguna,N,10/10/22,4,C,485,priach,priach,priach,priach,0040,2.3,Y,Y,N,485,NA,NA,NA
DB-N,Laguna,N,08/10/22,1,B,436,priach,priach,priach,priach,0040,2.9,Y,Y,N,436,NA,NA,NA
DG-B,Gavilanes,B,06/11/22,1,D,524,priach,priach,priach,priach,0005,3,Y,Y,N,522,NA,NA,NA
