Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,X20
LL-N,Estacion,N,1/9/22,4,C,4,priach,priach,priach,priach,2,2.3,Y,Y,N,4,NA,NA,NA
LL-N,Estacion,N,1/9/22,4,D,5,priach,priach,priach,priach,22,3.9,Y,Y,N,5,NA,"lost dedo, so cut 0022, escapó uno del 4D",NA
LL-C,Estacion,C,1/9/22,2,A,9,priach,priach,priach,priach,3,0.9,Y,Y,N,9,NA,NA,NA
LL-C,Estacion,C,1/9/22,2,D,11,priach,priach,priach,priach,3,3.2,Y,Y,N,11,NA,NA,NA
LL-C,Estacion,C,1/9/22,4,A,16,priach,priach,priach,priach,3,3.9,Y,Y,N,16,NA,NA,NA
JZ-C,Estacion,C,2/9/22,1,D,19,priach,priach,priach,priach,5,3,Y,Y,N,19,NA,NA,NA
JZ-C,Estacion,C,2/9/22,1,D,20,priach,priach,priach,priach,5,2.4,Y,Y,N,20,NA,NA,NA
JZ-C,Estacion,C,2/9/22,2,D,22,priach,priach,priach,priach,5,2.6,Y,Y,N,22,NA,NA,NA
LL-C,Estacion,C,3/9/22,1,A,25,priach,priach,priach,priach,3,2.9,Y,Y,N,25,NA,NA,NA
LL-C,Estacion,C,3/9/22,3,A,27,priach,priach,priach,priach,3,2.8,Y,Y,N,27,NA,NA,NA
LL-N,Estacion,N,3/9/22,2,C,36,priach,priach,priach,priach,2,2.9,Y,Y,N,36,NA,NA,NA
LL-N,Estacion,N,3/9/22,2,D,39,priach,priach,priach,priach,2,2.8,Y,Y,N,39,NA,NA,NA
LL-N,Estacion,N,3/9/22,4,B,42,priach,priach,priach,priach,2,3,Y,Y,N,42,NA,NA,NA
JZ-C,Estacion,C,5/9/22,1,C,49,priach,priach,priach,priach,5,4.2,Y,Y,N,49,NA,NA,NA
JZ-C,Estacion,C,5/9/22,2,B,50,priach,priach,priach,priach,5,2.6,Y,Y,N,50,NA,NA,NA
JZ-C,Estacion,C,5/9/22,2,C,51,priach,priach,priach,priach,5,2.8,Y,Y,N,51,NA,NA,NA
JZ-C,Estacion,C,5/9/22,3,C,52,priach,priach,priach,priach,5,1.9,Y,Y,N,52,NA,NA,NA
LL-N,Estacion,N,6/9/22,1,A,54,priach,priach,priach,priach,2,2.9,Y,Y,N,54,NA,uno escapo del 1C,NA
LL-N,Estacion,N,6/9/22,2,C,57,priach,priach,priach,priach,2,1.9,Y,Y,N,57,NA,NA,NA
LL-N,Estacion,N,6/9/22,2,B,58,priach,priach,priach,priach,2,3.6,Y,Y,N,58,NA,NA,NA
LL-N,Estacion,N,6/9/22,3,B,62,priach,priach,priach,priach,2,2.9,Y,Y,N,62,NA,NA,NA
LL-N,Estacion,N,6/9/22,4,B,65,priach,priach,priach,priach,2,3.8,Y,Y,N,65,NA,NA,NA
LL-C,Estacion,C,6/9/22,1,C,70,priach,priach,priach,priach,3,3.1,Y,Y,N,70,NA,NA,NA
LL-C,Estacion,C,6/9/22,2,C,72,priach,priach,priach,priach,3,2.8,Y,Y,N,72,NA,NA,NA
LL-C,Estacion,C,6/9/22,3,B,74,priach,priach,priach,priach,3,2.9,Y,Y,N,74,NA,NA,NA
LL-C,Estacion,C,6/9/22,3,C,75,priach,priach,priach,priach,3,3,Y,Y,N,75,NA,NA,NA
LL-C,Estacion,C,6/9/22,3,C,76,priach,priach,priach,priach,3,2.6,Y,Y,N,76,NA,NA,NA
JZ-C,Estacion,C,7/9/22,1,D,80,priach,priach,priach,priach,5,3.6,Y,Y,N,80,NA,NA,NA
JZ-C,Estacion,C,7/9/22,2,C,83,priach,priach,priach,priach,5,3,Y,Y,N,R15,NA,NA,NA
JZ-C,Estacion,C,7/9/22,3,D,84,priach,priach,priach,priach,5,2.9,Y,Y,N,77,NA,NA,NA
FCAT-V2,Estacion,V,8/9/22,3,D,95,priach,priach,priach,priach,30,2,Y,Y,N,94,NA,NA,NA
FCAT-V2,Estacion,V,8/9/22,4,A,96,priach,priach,priach,priach,30,2,Y,Y,N,96,NA,NA,NA
FCAT-B2,Estacion,B,8/9/22,1,C,98,priach,priach,priach,priach,40,2.9,Y,Y,N,94,NA,NA,NA
FCAT-B2,Estacion,B,8/9/22,2,A,100,priwal,priwal,priach,priach,40,2.9,Y,Y,N,100,NA,NA,NA
AL-N,Estacion,N,9/9/22,1,A,106,priach,priach,priach,priach,200,2,Y,Y,N,106,NA,NA,NA
AL-N,Estacion,N,9/9/22,2,C,110,priach,priach,priach,priach,200,2.3,Y,Y,N,106,NA,NA,NA
AL-N,Estacion,N,9/9/22,4,D,112,priach,priach,priach,priach,200,1.8,Y,Y,N,106,NA,NA,NA
JZJ-C,Estacion,C,9/9/22,2,B,122,priach,priach,priach,priach,300,3.4,Y,Y,N,122,NA,NA,NA
JZJ-C,Estacion,C,9/9/22,2,C,123,priach,priach,priach,priach,300,2.2,Y,Y,N,123,NA,NA,NA
JZJ-C,Estacion,C,9/9/22,3,A,125,priach,priach,priach,priach,300,2.7,Y,Y,N,108,NA,NA,NA
JZJ-C,Estacion,C,9/9/22,3,C,128,priach,priach,priach,priach,300,3.7,Y,Y,N,108,NA,NA,NA
JZJ-C,Estacion,C,9/9/22,4,D,135,priach,priach,priach,priach,300,2.8,Y,Y,N,109,NA,NA,NA
FCAT-B2,Estacion,B,10/9/22,2,C,138,epibou,epibou,priach,priach,40,1.8,Y,Y,N,138,NA,"confirmado que es priach - DFM, misma foto identificado como priach, epibou",NA
FCAT-B2,Estacion,B,10/9/22,2,D,139,priach,priach,priach,priach,40,3.6,Y,Y,N,139,NA,NA,NA
FCAT-B2,Estacion,B,10/9/22,3,B,140,priach,priach,priach,priach,40,3,Y,Y,N,139,NA,NA,NA
FCAT-B2,Estacion,B,10/9/22,4,D,143,priach,priach,priach,priach,40,2.6,Y,Y,N,139,NA,NA,NA
FCAT-B2,Estacion,B,10/9/22,4,D,144,priach,priach,priach,priach,40,2.9,Y,Y,N,139,NA,NA,NA
FCAT-V2,Estacion,V,10/9/22,1,A,145,priach,priach,priach,priach,30,3.8,Y,Y,N,145,NA,NA,NA
FCAT-V2,Estacion,V,10/9/22,1,A,146,priach,priach,priach,priach,30,3.5,Y,Y,N,139,NA,NA,NA
FCAT-V2,Estacion,V,10/9/22,2,A,149,priach,priach,priach,priach,30,3,Y,Y,N,139,NA,NA,NA
FCAT-V2,Estacion,V,10/9/22,3,D,153,priach,priach,priach,priach,30,2.8,Y,Y,N,139,NA,NA,NA
FCAT-V2,Estacion,V,10/9/22,3,D,154,priach,priach,priach,priach,30,2.2,Y,Y,N,154,NA,NA,NA
JZJ-C,Estacion,C,12/9/22,1,A,157,priach,priach,priach,priach,300,2,Y,Y,N,157,NA,NA,NA
JZJ-C,Estacion,C,12/9/22,2,C,166,priach,priach,priach,priach,300,3.9,Y,Y,N,166,NA,NA,NA
JZJ-C,Estacion,C,12/9/22,3,D,173,priach,priach,priach,priach,300,2.5,Y,Y,N,157,NA,NA,NA
AL-N,Estacion,N,12/9/22,2,C,178,priach,priach,priach,priach,2000 + 0300 + 0200,4,Y,Y,N,166,NA,mal corté pero arreglado,NA
AL-N,Estacion,N,12/9/22,2,C,179,priach,priach,priach,priach,200,2.5,Y,Y,N,169,NA,NA,NA
AL-N,Estacion,N,12/9/22,4,D,182,priach,priach,priach,priach,200,3,Y,Y,N,182,NA,NA,NA
FCAT-V2,Estacion,V,13/09/22,2,C,183,priach,priach,priach,priach,30,2.5,Y,Y,N,183,NA,NA,NA
FCAT-V2,Estacion,V,13/09/22,3,B,184,priach,priach,priach,priach,30,4.2,Y,Y,N,184,NA,NA,NA
FCAT-V2,Estacion,V,13/09/22,3,C,185,priach,priach,priach,priach,30,2.7,Y,Y,N,183,NA,NA,NA
FCAT-B2,Estacion,B,13/09/22,2,D,190,priach,priach,priach,priach,40,2.1,Y,Y,N,R32,NA,NA,NA
FCAT-B2,Estacion,B,13/09/22,2,D,191,priach,priach,priach,priach,40,4,Y,Y,N,191,NA,NA,NA
