Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...20
DB-N,Laguna,N,10/10/22,3,D,482,barpul,barpul,barpul,barpul,0040,2.5,Y,Y,N,475,NA,NA,NA
LG-N,Aniseto-Caucho,N,15/11/22,2,A,768,barpul,barpul,barpul,barpul,0002,2.2,Y,Y,N,768,NA,NA,NA
DB-C,Laguna,C,16/02/23,2,A,1462,barpul,NA,barpul,barpul,0030,2.5,Y,Y,N,1462,NA,NA,NA
FLL-V,Laguna,V,03/10/22,1,D,299,barpul,barpul,barpul,barpul,0020,2.4,Y,Y,N,299,NA,NA,NA
LL-C,Estacion,C,27/01/23,2,B,1299,barpul,NA,barpul,barpul,0003,2.5,Y,Y,N,1299,NA,NA,NA
JZJ-C,Estacion,C,19/01/23,3,A,1243,barpul,NA,barpul,barpul,0300,2.5,Y,Y,N,R278,NA,NA,NA
JS-N,Laguna,N,07/10/22,3,C,431,barpul,barpul,barpul,barpul,0002,2,Y,Y,N,413,NA,NA,NA
FCAT-B3,Aniseto-Caucho,B,01/12/22,4,A,1094,barpul,barpul,barpul,barpul,2000,2.7,Y,Y,N,1093,NA,NA,NA
FLL-V,Laguna,V,05/10/22,3,C,384,barpul,barpul,barpul,barpul,0020,2.6,Y,Y,N,367,NA,NA,NA
GP-C,Aniseto_Caucho,C,17/03/23,3,B,1801,barpul,NA,barpul,barpul,4000,2.5,Y,Y,N,1801,NA,NA,NA
GP-C,Aniseto-Caucho,C,25/11/22,3,C,964,barpul,barpul,barpul,barpul,4000,1.8,Y,Y,N,964,NA,NA,NA
JZJ-C,Estacion,C,19/01/23,2,A,1242,barpul,NA,barpul,barpul,0300,2.3,Y,Y,N,R278,NA,NA,NA
JS-N,Laguna,N,12/02/23,2,B,1418,barpul,NA,barpul,barpul,0002,2.5,Y,Y,N,1418,NA,NA,NA
JS-N,Laguna,N,08/02/23,2,B,1336,barpul,NA,barpul,barpul,0002,2.5,Y,Y,N,1336,NA,NA,NA
DB-N,Laguna,N,16/02/23,3,A,1476,barpul,NA,barpul,barpul,0040,2.8,Y,Y,N,1462,NA,NA,NA
DB-N,Laguna,N,10/10/22,4,D,488,barpul,barpul,barpul,barpul,0040,2.3,Y,Y,N,475,NA,NA,NA
LL-C,Estacion,C,27/01/23,4,A,1301,barpul,NA,barpul,barpul,0003,2.5,Y,Y,N,1299,NA,NA,NA
LG-C,Aniseto-Caucho,C,08/03/23,1,C,1678,barpul,NA,barpul,barpul,0003,2.6,Y,Y,N,1678,NA,NA,NA
JS-N,Laguna,N,12/02/23,3,C,1420,barpul,NA,barpul,barpul,0002,2.5,Y,Y,N,1418,NA,NA,NA
FLL-V,Laguna,V,05/10/22,1,B,365,barpul,barpul,barpul,barpul,0020,2.2,Y,Y,N,365,NA,NA,NA
LG-C,Aniseto-Caucho,C,08/03/23,3,A,1686,barpul,NA,barpul,barpul,0003,2.8,Y,Y,N,1678,NA,NA,NA
